sku,nom,categorie,prix_dt,disponibilite,caracteristiques,description
LS-CP-000029,Carte STM32F103C8T6 Blue Pill,Cartes Programmables,28.79,en stock,"ARM Cortex-M, plusieurs Ko de RAM/Flash selon modèle","Carte de développement STM32F103C8T6 Blue Pill, performance supérieure à Arduino Uno."
LS-CP-000030,Carte STM32F401 Black Pill,Cartes Programmables,43.02,en stock,"ARM Cortex-M, plusieurs Ko de RAM/Flash selon modèle","Carte de développement STM32F401 Black Pill, performance supérieure à Arduino Uno."
LS-CP-000031,Carte STM32F411,Cartes Programmables,59.23,sur commande,"ARM Cortex-M, plusieurs Ko de RAM/Flash selon modèle","Carte de développement STM32F411, performance supérieure à Arduino Uno."
LS-CP-000032,Carte STM32F407 Discovery,Cartes Programmables,74.81,en stock,"ARM Cortex-M, plusieurs Ko de RAM/Flash selon modèle","Carte de développement STM32F407 Discovery, performance supérieure à Arduino Uno."
LS-CP-000033,Carte STM32L152 Nucleo,Cartes Programmables,90.82,stock faible,"ARM Cortex-M, plusieurs Ko de RAM/Flash selon modèle","Carte de développement STM32L152 Nucleo, performance supérieure à Arduino Uno."
LS-CP-000034,Raspberry Pi Zero,Cartes Programmables,43.77,en stock,"Mini-ordinateur monocarte, WiFi/Bluetooth selon modèle","Raspberry Pi Zero pour projets avancés (serveur, robotique, vision)."
LS-CP-000035,Raspberry Pi Zero W,Cartes Programmables,84.27,en stock,"Mini-ordinateur monocarte, WiFi/Bluetooth selon modèle","Raspberry Pi Zero W pour projets avancés (serveur, robotique, vision)."
LS-CP-000036,Raspberry Pi 3 Model B+,Cartes Programmables,130.68,en stock,"Mini-ordinateur monocarte, WiFi/Bluetooth selon modèle","Raspberry Pi 3 Model B+ pour projets avancés (serveur, robotique, vision)."
LS-CP-000037,Raspberry Pi 4 Model B (2Go),Cartes Programmables,164.2,stock faible,"Mini-ordinateur monocarte, WiFi/Bluetooth selon modèle","Raspberry Pi 4 Model B (2Go) pour projets avancés (serveur, robotique, vision)."
LS-CP-000038,Raspberry Pi 4 Model B (4Go),Cartes Programmables,205.34,en stock,"Mini-ordinateur monocarte, WiFi/Bluetooth selon modèle","Raspberry Pi 4 Model B (4Go) pour projets avancés (serveur, robotique, vision)."
LS-CP-000039,Raspberry Pi 4 Model B (8Go),Cartes Programmables,246.64,rupture de stock,"Mini-ordinateur monocarte, WiFi/Bluetooth selon modèle","Raspberry Pi 4 Model B (8Go) pour projets avancés (serveur, robotique, vision)."
LS-CP-000040,Raspberry Pi 5 (4Go),Cartes Programmables,282.07,en stock,"Mini-ordinateur monocarte, WiFi/Bluetooth selon modèle","Raspberry Pi 5 (4Go) pour projets avancés (serveur, robotique, vision)."
LS-CP-000041,Raspberry Pi 5 (8Go),Cartes Programmables,322.08,en stock,"Mini-ordinateur monocarte, WiFi/Bluetooth selon modèle","Raspberry Pi 5 (8Go) pour projets avancés (serveur, robotique, vision)."
LS-CP-000042,Carte Teensy 3.2,Cartes Programmables,192.15,en stock,Voir fiche technique constructeur,Carte de développement Teensy 3.2.
LS-CP-000043,Carte Teensy 4.0,Cartes Programmables,138.57,en stock,Voir fiche technique constructeur,Carte de développement Teensy 4.0.
LS-CP-000044,Carte Teensy 4.1,Cartes Programmables,175.18,en stock,Voir fiche technique constructeur,Carte de développement Teensy 4.1.
LS-CP-000045,Carte BBC micro:bit v2,Cartes Programmables,66.83,en stock,Voir fiche technique constructeur,Carte de développement BBC micro:bit v2.
LS-CP-000046,Carte Adafruit Circuit Playground,Cartes Programmables,208.67,en stock,Voir fiche technique constructeur,Carte de développement Adafruit Circuit Playground.
LS-CP-000047,Carte FPGA iCEstick Lattice,Cartes Programmables,138.02,en stock,Voir fiche technique constructeur,Carte de développement FPGA iCEstick Lattice.
LS-CP-000048,Carte FPGA Basys 3,Cartes Programmables,108.04,sur commande,Voir fiche technique constructeur,Carte de développement FPGA Basys 3.
LS-CP-000049,Carte PIC18F4550 dev board,Cartes Programmables,41.12,en stock,Voir fiche technique constructeur,Carte de développement PIC18F4550 dev board.
LS-CP-000050,Carte PIC16F877A dev board,Cartes Programmables,182.57,en stock,Voir fiche technique constructeur,Carte de développement PIC16F877A dev board.
LS-MO-000001,Module relais 1 canal(aux) 5V,Modules,5.36,en stock,"1 relais, alimentation 5V, optocouplé",Permet de piloter 1 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000002,Module relais 1 canal(aux) 12V,Modules,5.24,en stock,"1 relais, alimentation 12V, optocouplé",Permet de piloter 1 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000003,Module relais 1 canal(aux) 24V,Modules,5.55,en stock,"1 relais, alimentation 24V, optocouplé",Permet de piloter 1 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000004,Module relais 2 canal(aux) 5V,Modules,7.01,sur commande,"2 relais, alimentation 5V, optocouplé",Permet de piloter 2 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000005,Module relais 2 canal(aux) 12V,Modules,6.65,en stock,"2 relais, alimentation 12V, optocouplé",Permet de piloter 2 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000006,Module relais 2 canal(aux) 24V,Modules,7.05,en stock,"2 relais, alimentation 24V, optocouplé",Permet de piloter 2 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000007,Module relais 4 canal(aux) 5V,Modules,9.46,en stock,"4 relais, alimentation 5V, optocouplé",Permet de piloter 4 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000008,Module relais 4 canal(aux) 12V,Modules,9.44,en stock,"4 relais, alimentation 12V, optocouplé",Permet de piloter 4 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000009,Module relais 4 canal(aux) 24V,Modules,10.02,sur commande,"4 relais, alimentation 24V, optocouplé",Permet de piloter 4 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000010,Module relais 8 canal(aux) 5V,Modules,15.47,rupture de stock,"8 relais, alimentation 5V, optocouplé",Permet de piloter 8 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000011,Module relais 8 canal(aux) 12V,Modules,14.88,en stock,"8 relais, alimentation 12V, optocouplé",Permet de piloter 8 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000012,Module relais 8 canal(aux) 24V,Modules,15.94,en stock,"8 relais, alimentation 24V, optocouplé",Permet de piloter 8 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000013,Module relais 16 canal(aux) 5V,Modules,26.11,stock faible,"16 relais, alimentation 5V, optocouplé",Permet de piloter 16 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000014,Module relais 16 canal(aux) 12V,Modules,26.81,en stock,"16 relais, alimentation 12V, optocouplé",Permet de piloter 16 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000015,Module relais 16 canal(aux) 24V,Modules,27.15,en stock,"16 relais, alimentation 24V, optocouplé",Permet de piloter 16 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000016,Module relais 32 canal(aux) 5V,Modules,51.15,stock faible,"32 relais, alimentation 5V, optocouplé",Permet de piloter 32 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000017,Module relais 32 canal(aux) 12V,Modules,47.83,en stock,"32 relais, alimentation 12V, optocouplé",Permet de piloter 32 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000018,Module relais 32 canal(aux) 24V,Modules,51.03,en stock,"32 relais, alimentation 24V, optocouplé",Permet de piloter 32 appareil(s) électrique(s) depuis une carte programmable.
LS-MO-000019,Convertisseur DC-DC LM2596 step-down (3-30V ajustable),Modules,8.13,en stock,"Module LM2596 step-down, 3-30V ajustable",Régulateur de tension LM2596 step-down pour adapter une source d'alimentation.
LS-MO-000020,Convertisseur DC-DC LM2596 step-down (3-40V ajustable),Modules,18.11,rupture de stock,"Module LM2596 step-down, 3-40V ajustable",Régulateur de tension LM2596 step-down pour adapter une source d'alimentation.
LS-MO-000021,Convertisseur DC-DC LM2596 step-down (sortie fixe 5V),Modules,14.31,en stock,"Module LM2596 step-down, sortie fixe 5V",Régulateur de tension LM2596 step-down pour adapter une source d'alimentation.
LS-MO-000022,Convertisseur DC-DC LM2596 step-down (sortie fixe 12V),Modules,14.65,en stock,"Module LM2596 step-down, sortie fixe 12V",Régulateur de tension LM2596 step-down pour adapter une source d'alimentation.
LS-MO-000023,Convertisseur DC-DC LM2596 step-down (sortie fixe 3.3V),Modules,11.13,en stock,"Module LM2596 step-down, sortie fixe 3.3V",Régulateur de tension LM2596 step-down pour adapter une source d'alimentation.
LS-MO-000024,Convertisseur DC-DC MP1584 step-down (3-30V ajustable),Modules,6.36,en stock,"Module MP1584 step-down, 3-30V ajustable",Régulateur de tension MP1584 step-down pour adapter une source d'alimentation.
LS-MO-000025,Convertisseur DC-DC MP1584 step-down (3-40V ajustable),Modules,5.93,en stock,"Module MP1584 step-down, 3-40V ajustable",Régulateur de tension MP1584 step-down pour adapter une source d'alimentation.
LS-MO-000026,Convertisseur DC-DC MP1584 step-down (sortie fixe 5V),Modules,6.78,en stock,"Module MP1584 step-down, sortie fixe 5V",Régulateur de tension MP1584 step-down pour adapter une source d'alimentation.
LS-MO-000027,Convertisseur DC-DC MP1584 step-down (sortie fixe 12V),Modules,12.28,en stock,"Module MP1584 step-down, sortie fixe 12V",Régulateur de tension MP1584 step-down pour adapter une source d'alimentation.
LS-MO-000028,Convertisseur DC-DC MP1584 step-down (sortie fixe 3.3V),Modules,12.98,en stock,"Module MP1584 step-down, sortie fixe 3.3V",Régulateur de tension MP1584 step-down pour adapter une source d'alimentation.
LS-MO-000029,Convertisseur DC-DC XL6009 step-up (3-30V ajustable),Modules,13.02,en stock,"Module XL6009 step-up, 3-30V ajustable",Régulateur de tension XL6009 step-up pour adapter une source d'alimentation.
LS-MO-000030,Convertisseur DC-DC XL6009 step-up (3-40V ajustable),Modules,11.13,en stock,"Module XL6009 step-up, 3-40V ajustable",Régulateur de tension XL6009 step-up pour adapter une source d'alimentation.
LS-MO-000031,Convertisseur DC-DC XL6009 step-up (sortie fixe 5V),Modules,10.65,en stock,"Module XL6009 step-up, sortie fixe 5V",Régulateur de tension XL6009 step-up pour adapter une source d'alimentation.
LS-MO-000032,Convertisseur DC-DC XL6009 step-up (sortie fixe 12V),Modules,6.79,en stock,"Module XL6009 step-up, sortie fixe 12V",Régulateur de tension XL6009 step-up pour adapter une source d'alimentation.
LS-MO-000033,Convertisseur DC-DC XL6009 step-up (sortie fixe 3.3V),Modules,6.96,en stock,"Module XL6009 step-up, sortie fixe 3.3V",Régulateur de tension XL6009 step-up pour adapter une source d'alimentation.
LS-MO-000034,Convertisseur DC-DC MT3608 step-up (3-30V ajustable),Modules,7.41,en stock,"Module MT3608 step-up, 3-30V ajustable",Régulateur de tension MT3608 step-up pour adapter une source d'alimentation.
LS-MO-000035,Convertisseur DC-DC MT3608 step-up (3-40V ajustable),Modules,7.74,en stock,"Module MT3608 step-up, 3-40V ajustable",Régulateur de tension MT3608 step-up pour adapter une source d'alimentation.
LS-MO-000036,Convertisseur DC-DC MT3608 step-up (sortie fixe 5V),Modules,17.07,en stock,"Module MT3608 step-up, sortie fixe 5V",Régulateur de tension MT3608 step-up pour adapter une source d'alimentation.
LS-MO-000037,Convertisseur DC-DC MT3608 step-up (sortie fixe 12V),Modules,16.63,en stock,"Module MT3608 step-up, sortie fixe 12V",Régulateur de tension MT3608 step-up pour adapter une source d'alimentation.
LS-MO-000038,Convertisseur DC-DC MT3608 step-up (sortie fixe 3.3V),Modules,12.21,en stock,"Module MT3608 step-up, sortie fixe 3.3V",Régulateur de tension MT3608 step-up pour adapter une source d'alimentation.
LS-MO-000039,Convertisseur DC-DC SEPIC buck-boost (3-30V ajustable),Modules,15.08,en stock,"Module SEPIC buck-boost, 3-30V ajustable",Régulateur de tension SEPIC buck-boost pour adapter une source d'alimentation.
LS-MO-000040,Convertisseur DC-DC SEPIC buck-boost (3-40V ajustable),Modules,12.27,stock faible,"Module SEPIC buck-boost, 3-40V ajustable",Régulateur de tension SEPIC buck-boost pour adapter une source d'alimentation.
LS-MO-000041,Convertisseur DC-DC SEPIC buck-boost (sortie fixe 5V),Modules,7.99,en stock,"Module SEPIC buck-boost, sortie fixe 5V",Régulateur de tension SEPIC buck-boost pour adapter une source d'alimentation.
LS-MO-000042,Convertisseur DC-DC SEPIC buck-boost (sortie fixe 12V),Modules,17.0,stock faible,"Module SEPIC buck-boost, sortie fixe 12V",Régulateur de tension SEPIC buck-boost pour adapter une source d'alimentation.
LS-MO-000043,Convertisseur DC-DC SEPIC buck-boost (sortie fixe 3.3V),Modules,14.83,en stock,"Module SEPIC buck-boost, sortie fixe 3.3V",Régulateur de tension SEPIC buck-boost pour adapter une source d'alimentation.
LS-MO-000044,Convertisseur DC-DC TPS5430 (3-30V ajustable),Modules,13.74,en stock,"Module TPS5430, 3-30V ajustable",Régulateur de tension TPS5430 pour adapter une source d'alimentation.
LS-MO-000045,Convertisseur DC-DC TPS5430 (3-40V ajustable),Modules,8.86,en stock,"Module TPS5430, 3-40V ajustable",Régulateur de tension TPS5430 pour adapter une source d'alimentation.
LS-MO-000046,Convertisseur DC-DC TPS5430 (sortie fixe 5V),Modules,6.56,en stock,"Module TPS5430, sortie fixe 5V",Régulateur de tension TPS5430 pour adapter une source d'alimentation.
LS-MO-000047,Convertisseur DC-DC TPS5430 (sortie fixe 12V),Modules,11.87,rupture de stock,"Module TPS5430, sortie fixe 12V",Régulateur de tension TPS5430 pour adapter une source d'alimentation.
LS-MO-000048,Convertisseur DC-DC TPS5430 (sortie fixe 3.3V),Modules,6.94,en stock,"Module TPS5430, sortie fixe 3.3V",Régulateur de tension TPS5430 pour adapter une source d'alimentation.
LS-MO-000049,Convertisseur DC-DC LM2577 step-up (3-30V ajustable),Modules,7.09,en stock,"Module LM2577 step-up, 3-30V ajustable",Régulateur de tension LM2577 step-up pour adapter une source d'alimentation.
LS-MO-000050,Convertisseur DC-DC LM2577 step-up (3-40V ajustable),Modules,11.01,rupture de stock,"Module LM2577 step-up, 3-40V ajustable",Régulateur de tension LM2577 step-up pour adapter une source d'alimentation.
LS-MO-000051,Convertisseur DC-DC LM2577 step-up (sortie fixe 5V),Modules,12.64,en stock,"Module LM2577 step-up, sortie fixe 5V",Régulateur de tension LM2577 step-up pour adapter une source d'alimentation.
LS-MO-000052,Convertisseur DC-DC LM2577 step-up (sortie fixe 12V),Modules,13.82,en stock,"Module LM2577 step-up, sortie fixe 12V",Régulateur de tension LM2577 step-up pour adapter une source d'alimentation.
LS-MO-000053,Convertisseur DC-DC LM2577 step-up (sortie fixe 3.3V),Modules,9.08,en stock,"Module LM2577 step-up, sortie fixe 3.3V",Régulateur de tension LM2577 step-up pour adapter une source d'alimentation.
LS-MO-000054,Convertisseur DC-DC XL4015 step-down 5A (3-30V ajustable),Modules,9.39,en stock,"Module XL4015 step-down 5A, 3-30V ajustable",Régulateur de tension XL4015 step-down 5A pour adapter une source d'alimentation.
LS-MO-000055,Convertisseur DC-DC XL4015 step-down 5A (3-40V ajustable),Modules,12.0,rupture de stock,"Module XL4015 step-down 5A, 3-40V ajustable",Régulateur de tension XL4015 step-down 5A pour adapter une source d'alimentation.
LS-MO-000056,Convertisseur DC-DC XL4015 step-down 5A (sortie fixe 5V),Modules,6.2,en stock,"Module XL4015 step-down 5A, sortie fixe 5V",Régulateur de tension XL4015 step-down 5A pour adapter une source d'alimentation.
LS-MO-000057,Convertisseur DC-DC XL4015 step-down 5A (sortie fixe 12V),Modules,7.28,en stock,"Module XL4015 step-down 5A, sortie fixe 12V",Régulateur de tension XL4015 step-down 5A pour adapter une source d'alimentation.
LS-MO-000058,Convertisseur DC-DC XL4015 step-down 5A (sortie fixe 3.3V),Modules,7.4,en stock,"Module XL4015 step-down 5A, sortie fixe 3.3V",Régulateur de tension XL4015 step-down 5A pour adapter une source d'alimentation.
LS-MO-000059,Module HC-05,Modules,16.37,en stock,Bluetooth 2.0 maître/esclave,Module HC-05 — Bluetooth 2.0 maître/esclave.
LS-MO-000060,Module HC-06,Modules,28.99,en stock,Bluetooth 2.0 esclave,Module HC-06 — Bluetooth 2.0 esclave.
LS-MO-000061,Module HM-10 BLE,Modules,38.55,en stock,Bluetooth Low Energy 4.0,Module HM-10 BLE — Bluetooth Low Energy 4.0.
LS-MO-000062,Module JDY-31,Modules,27.47,rupture de stock,Bluetooth 2.0 économique,Module JDY-31 — Bluetooth 2.0 économique.
LS-MO-000063,Module ESP-01,Modules,42.03,en stock,WiFi UART,Module ESP-01 — WiFi UART.
LS-MO-000064,Module ESP-01S,Modules,34.95,en stock,WiFi UART amélioré,Module ESP-01S — WiFi UART amélioré.
LS-MO-000065,Module NRF24L01,Modules,15.38,en stock,RF 2.4GHz,Module NRF24L01 — RF 2.4GHz.
LS-MO-000066,Module NRF24L01+PA+LNA,Modules,39.02,en stock,RF 2.4GHz longue portée,Module NRF24L01+PA+LNA — RF 2.4GHz longue portée.
LS-MO-000067,Module RF433MHz TX,Modules,42.37,en stock,émetteur RF 433MHz,Module RF433MHz TX — émetteur RF 433MHz.
LS-MO-000068,Module RF433MHz RX,Modules,38.39,en stock,récepteur RF 433MHz,Module RF433MHz RX — récepteur RF 433MHz.
LS-MO-000069,Module LoRa SX1278 433MHz,Modules,11.77,sur commande,longue portée basse consommation,Module LoRa SX1278 433MHz — longue portée basse consommation.
LS-MO-000070,Module LoRa SX1276 868MHz,Modules,24.14,en stock,longue portée basse consommation,Module LoRa SX1276 868MHz — longue portée basse consommation.
LS-MO-000071,Module RTC DS1307,Modules,11.54,rupture de stock,horloge temps réel,Module RTC DS1307 — horloge temps réel.
LS-MO-000072,Module RTC DS3231,Modules,12.66,en stock,horloge temps réel haute précision,Module RTC DS3231 — horloge temps réel haute précision.
LS-MO-000073,Module SD Card Reader SPI,Modules,27.25,en stock,lecteur carte microSD,Module SD Card Reader SPI — lecteur carte microSD.
LS-MO-000074,Module PAM8403,Modules,21.85,rupture de stock,amplificateur audio class D 2x3W,Module PAM8403 — amplificateur audio class D 2x3W.
LS-MO-000075,Module LM386,Modules,8.73,en stock,amplificateur audio mono,Module LM386 — amplificateur audio mono.
LS-MO-000076,Module MAX485 RS485,Modules,32.82,en stock,communication industrielle,Module MAX485 RS485 — communication industrielle.
LS-MO-000077,Module MCP2515 CAN Bus,Modules,41.44,sur commande,communication CAN bus,Module MCP2515 CAN Bus — communication CAN bus.
LS-MO-000078,Driver moteur L298N (1 moteur),Modules,50.64,en stock,Driver L298N,"Module de pilotage moteur L298N, 1 moteur."
LS-MO-000079,Driver moteur L298N (2 moteurs),Modules,45.73,en stock,Driver L298N,"Module de pilotage moteur L298N, 2 moteurs."
LS-MO-000080,Driver moteur L298N (pilotage pas-à-pas),Modules,16.97,rupture de stock,Driver L298N,"Module de pilotage moteur L298N, pilotage pas-à-pas."
LS-MO-000081,Driver moteur L293D (1 moteur),Modules,28.14,en stock,Driver L293D,"Module de pilotage moteur L293D, 1 moteur."
LS-MO-000082,Driver moteur L293D (2 moteurs),Modules,20.18,en stock,Driver L293D,"Module de pilotage moteur L293D, 2 moteurs."
LS-MO-000083,Driver moteur L293D (pilotage pas-à-pas),Modules,26.18,en stock,Driver L293D,"Module de pilotage moteur L293D, pilotage pas-à-pas."
LS-MO-000084,Driver moteur A4988 (1 moteur),Modules,17.34,rupture de stock,Driver A4988,"Module de pilotage moteur A4988, 1 moteur."
LS-MO-000085,Driver moteur A4988 (2 moteurs),Modules,46.0,stock faible,Driver A4988,"Module de pilotage moteur A4988, 2 moteurs."
LS-MO-000086,Driver moteur A4988 (pilotage pas-à-pas),Modules,38.72,en stock,Driver A4988,"Module de pilotage moteur A4988, pilotage pas-à-pas."
LS-MO-000087,Driver moteur DRV8825 (1 moteur),Modules,11.24,en stock,Driver DRV8825,"Module de pilotage moteur DRV8825, 1 moteur."
LS-MO-000088,Driver moteur DRV8825 (2 moteurs),Modules,33.14,en stock,Driver DRV8825,"Module de pilotage moteur DRV8825, 2 moteurs."
LS-MO-000089,Driver moteur DRV8825 (pilotage pas-à-pas),Modules,24.51,en stock,Driver DRV8825,"Module de pilotage moteur DRV8825, pilotage pas-à-pas."
LS-MO-000090,Driver moteur TB6600 (1 moteur),Modules,21.26,en stock,Driver TB6600,"Module de pilotage moteur TB6600, 1 moteur."
LS-MO-000091,Driver moteur TB6600 (2 moteurs),Modules,9.78,en stock,Driver TB6600,"Module de pilotage moteur TB6600, 2 moteurs."
LS-MO-000092,Driver moteur TB6600 (pilotage pas-à-pas),Modules,47.15,en stock,Driver TB6600,"Module de pilotage moteur TB6600, pilotage pas-à-pas."
LS-MO-000093,Driver moteur ULN2003 (1 moteur),Modules,13.24,rupture de stock,Driver ULN2003,"Module de pilotage moteur ULN2003, 1 moteur."
LS-MO-000094,Driver moteur ULN2003 (2 moteurs),Modules,10.2,en stock,Driver ULN2003,"Module de pilotage moteur ULN2003, 2 moteurs."
LS-MO-000095,Driver moteur ULN2003 (pilotage pas-à-pas),Modules,47.98,en stock,Driver ULN2003,"Module de pilotage moteur ULN2003, pilotage pas-à-pas."
LS-MO-000096,Driver moteur TB6612FNG (1 moteur),Modules,42.83,en stock,Driver TB6612FNG,"Module de pilotage moteur TB6612FNG, 1 moteur."
LS-MO-000097,Driver moteur TB6612FNG (2 moteurs),Modules,53.64,rupture de stock,Driver TB6612FNG,"Module de pilotage moteur TB6612FNG, 2 moteurs."
